id,label,desired
AUS,Australia,FALSE
AUT,Austria,TRUE
BEL,Belgium,TRUE
CAN,Canada,FALSE
CZE,Czech Republic,TRUE
DNK,Denmark,FALSE
EST,Estonia,TRUE
FIN,Finland,TRUE
FRA,France,TRUE
DEU,Germany,TRUE
GRC,Greece,TRUE
HUN,Hungary,TRUE
ISL,Iceland,TRUE
IRL,Ireland,FALSE
ISR,Israel,FALSE
ITA,Italy,TRUE
JPN,Japan,FALSE
KOR,Korea,FALSE
LVA,Latvia,TRUE
LTU,Lithuania,TRUE
LUX,Luxembourg,FALSE
MEX,Mexico,FALSE
NLD,Netherlands,FALSE
NZL,New Zealand,TRUE
NOR,Norway,TRUE
POL,Poland,TRUE
PRT,Portugal,TRUE
SVK,Slovak Republic,TRUE
SVN,Slovenia,TRUE
ESP,Spain,TRUE
SWE,Sweden,TRUE
CHE,Switzerland,TRUE
TUR,Turkey,FALSE
GBR,United Kingdom,TRUE
USA,United States,FALSE
OECD,OECD countries,FALSE
CRI,Costa Rica,FALSE
EU22,European Union 22,FALSE
EU16,European Union 16,FALSE
EU28,European Union 28,FALSE
EUR,Europe,FALSE
G7,G7 countries,FALSE
NAM,North America,FALSE
OCE,Oceania,FALSE
BGR,Bulgaria,FALSE
HRV,Croatia,TRUE
CYP,Cyprus,FALSE
MKD,FYR of Macedonia,FALSE
MLT,Malta,FALSE
ROU,Romania,FALSE
RUS,Russian Federation,FALSE
ZAF,South Africa,FALSE
COL,Colombia,FALSE
